"","NAME","Median Family Income","Total Population","Year","State"
"250","South Dakota",64636,800706,2014,"SD"
"251","Tennessee",55459,6297168,2014,"TN"
"252","Texas",61958,25501018,2014,"TX"
"253","Utah",67612,2811966,2014,"UT"
"254","Vermont",68787,601021,2014,"VT"
"255","Virginia",77939,7943875,2014,"VA"
"256","Washington",73039,6758532,2014,"WA"
"257","West Virginia",52875,1804374,2014,"WV"
"258","Wisconsin",67232,5575300,2014,"WI"
"259","Wyoming",72086,561129,2014,"WY"
"260","Puerto Rico",23235,3599885,2014,NA
"261","Alabama",55341,4713245,2015,"AL"
"262","Alaska",84232,706026,2015,"AK"
"263","Arizona",59480,6491160,2015,"AZ"
"264","Arkansas",51782,2875876,2015,"AR"
"265","California",70720,37604610,2015,"CA"
"266","Colorado",74826,5162330,2015,"CO"
"267","Connecticut",89031,3475053,2015,"CT"
"268","Delaware",72993,901179,2015,"DE"
"269","District of Columbia",85321,607259,2015,NA
"270","Florida",57504,19215626,2015,"FL"
"271","Georgia",59410,9745188,2015,"GA"
"272","Hawaii",80778,1362527,2015,"HI"
"273","Idaho",57573,1586697,2015,"ID"
"274","Illinois",71546,12573306,2015,"IL"
"275","Indiana",61119,6379892,2015,"IN"
"276","Iowa",67466,2993082,2015,"IA"
"277","Kansas",66389,2813882,2015,"KS"
"278","Kentucky",55367,4268775,2015,"KY"
"279","Louisiana",57144,4496904,2015,"LA"
"280","Maine",62279,1293418,2015,"ME"
"281","Maryland",90089,5790058,2015,"MD"
"282","Massachusetts",87085,6456367,2015,"MA"
"283","Michigan",62247,9673605,2015,"MI"
"284","Minnesota",77055,5284150,2015,"MN"
"285","Mississippi",49274,2893030,2015,"MS"
"286","Missouri",60809,5870934,2015,"MO"
"287","Montana",61271,985861,2015,"MT"
"288","Nebraska",67225,1817463,2015,"NE"
"289","Nevada",60916,2762178,2015,"NV"
"290","New Hampshire",81726,1283167,2015,"NH"
"291","New Jersey",88335,8717691,2015,"NJ"
"292","New Mexico",55049,2041091,2015,"NM"
"293","New York",71913,19093919,2015,"NY"
"294","North Carolina",57856,9591652,2015,"NC"
"295","North Dakota",74708,695250,2015,"ND"
"296","Ohio",62817,11265263,2015,"OH"
"297","Oklahoma",58029,3739677,2015,"OK"
"298","Oregon",62964,3852161,2015,"OR"
"299","Pennsylvania",68158,12349526,2015,"PA"
"300","Rhode Island",74045,1012127,2015,"RI"
"301","South Carolina",56343,4640086,2015,"SC"
"302","South Dakota",65237,809185,2015,"SD"
"303","Tennessee",56110,6345572,2015,"TN"
"304","Texas",62717,25945456,2015,"TX"
"305","Utah",68817,2856956,2015,"UT"
"306","Vermont",70027,601162,2015,"VT"
"307","Virginia",78390,8013933,2015,"VA"
"308","Washington",74025,6844490,2015,"WA"
"309","West Virginia",52866,1802504,2015,"WV"
"310","Wisconsin",68064,5593313,2015,"WI"
"311","Wyoming",73194,565538,2015,"WY"
"312","Puerto Rico",22976,3544158,2015,NA
"313","Alabama",56828,4722823,2016,"AL"
"314","Alaska",87365,709094,2016,"AK"
"315","Arizona",61001,6575815,2016,"AZ"
"316","Arkansas",53123,2885309,2016,"AR"
"317","California",72952,37838221,2016,"CA"
"318","Colorado",77130,5242152,2016,"CO"
"319","Connecticut",91274,3471703,2016,"CT"
"320","Delaware",73831,909543,2016,"DE"
"321","District of Columbia",89023,619042,2016,NA
"322","Florida",59139,19502015,2016,"FL"
"323","Georgia",61328,9838303,2016,"GA"
"324","Hawaii",83451,1369696,2016,"HI"
"325","Idaho",59652,1605557,2016,"ID"
"326","Illinois",73714,12551035,2016,"IL"
"327","Indiana",62748,6400632,2016,"IN"
"328","Iowa",69419,3006496,2016,"IA"
"329","Kansas",68231,2819203,2016,"KS"
"330","Kentucky",56522,4281075,2016,"KY"
"331","Louisiana",58068,4517117,2016,"LA"
"332","Maine",64294,1294118,2016,"ME"
"333","Maryland",92049,5819571,2016,"MD"
"334","Massachusetts",90180,6491551,2016,"MA"
"335","Michigan",63958,9680412,2016,"MI"
"336","Minnesota",79595,5316464,2016,"MN"
"337","Mississippi",50592,2894844,2016,"MS"
"338","Missouri",62285,5884807,2016,"MO"
"339","Montana",63214,994541,2016,"MT"
"340","Nebraska",69207,1829382,2016,"NE"
"341","Nevada",62528,2801783,2016,"NV"
"342","New Hampshire",83709,1285615,2016,"NH"
"343","New Jersey",90757,8728101,2016,"NJ"
"344","New Mexico",55900,2039545,2016,"NM"
"345","New York",74036,19118822,2016,"NY"
"346","North Carolina",59667,9686388,2016,"NC"
"347","North Dakota",77277,709708,2016,"ND"
"348","Ohio",64433,11275553,2016,"OH"
"349","Oklahoma",59742,3765615,2016,"OK"
"350","Oregon",65479,3894155,2016,"OR"
"351","Pennsylvania",69960,12354826,2016,"PA"
"352","Rhode Island",75655,1012343,2016,"RI"
